ID_Oferta,Titulo_Oferta,Ciudad,Region_Departamento,Fecha_Publicacion,Tipo_Contrato,Tipo_Jornada,Modalidad_Trabajo,Salario_Monto,Salario_Moneda,Salario_Tipo_Pago,Lenguajes_Lista,Frameworks_Lista,Bases_Datos_Lista,Herramientas_Lista,Nivel_Ingles,Nivel_Educacion,Anos_Experiencia,Conocimientos_Adicionales_Lista,Edad_Minima,Edad_Maxima,Categoria_Puesto,Nombre_Empresa,Contenido_Descripcion_Empresa,Enlace_Oferta,Contenido_Descripcion_Oferta
1,Desarrollador software,Arequipa,Arequipa,07/05/2025,Contrato por obra determinada o servicio específico,Tiempo completo,Presencial,"$3,500.00",PEN,Mensual,"Java,C#,Python","React,Angular,Vue.js",No disponible,No disponible,No disponible,Universitario,2,No disponible,25,45,Desarrollador/a de software,Automotriz incamotors s.a.c.,No disponible,https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-software-en-arequipa-7E5A968A0904688361373E686DCF3405#lc=ListOffers-Score4-1,"Estamos en busca de un Desarrollador Software con experiencia para incorporarse a nuestro equipo. Buscamos a alguien con una sólida formación técnica y una capacidad demostrada para resolver problemas complejos. Tu trabajo consistirá en diseñar, desarrollar y mantener aplicaciones de software de alta calidad. Necesitamos a alguien que cuente con un profundo conocimiento de lenguajes de programación como Java, C# o Python. Experiencia en desarrollo web con tecnologías como React, Angular o Vue.js sería un plus. Además, es fundamental que tengas una comprensión avanzada de bases de datos relacionales y no relacionales, así como de arquitectura de sistemas de información. Tus responsabilidades incluirán colaborar con el equipo de desarrollo para definir especificaciones de software, participar en la planificación y seguimiento de proyectos, y asegurarte de que los productos cumplen con los requisitos funcionales y de calidad. También serás responsable de la documentación técnica y d..."
2,Desarrollador de software,Arequipa,Arequipa,11/03/2025,Contrato por inicio o incremento de actividad,Tiempo completo,Presencial,"$2,600.00",PEN,Mensual,"Javascript,Kotlin","Flutter,React native,Kotlin","Postgresql,Mongodb",Docker,No disponible,Universitario,2,No disponible,25,44,Desarrollador/a de software,Ontario inversiones sac,"EMPRESA CONSTRUCTORA INMOBILIARIA, DEDICADA AL RUBRO DE HABILITACIONES Y PROYECTOS INMOBILIARIOS, ASESORÍA EN TEMAS DE SANEAMIENTO DE PROPIEDADES RURALES O URBANAS, ASESORÍA PARA VENTA O ALQUILER DE PROPIEDADES.",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-de-software-arequipa-en-arequipa-3BC9445312E312B661373E686DCF3405#lc=ListOffers-Score4-2,"Empresa Inmobiliaria con trayectoria en el mercado Peruano busca incorporar un colaborador en la Posición de Desarrollador de Software, a tiempo completo y presencial para la ciudad de AREQUIPA. Requisitos: Titulado en las carreras de Ingeniería de Sistemas, Software o afines. Experiencia mínima de al menos 2 años como desarrollador web, programador y manager a nivel intermedio. Conocimiento de las mejores prácticas de desarrollo de software. Experiencia en React.js., Node.js, Express.js. HTML, CSS, JavaScript y JSON. Conocimientos en Microservicios: Diseño, desarrollo y mantenimiento de microservicios, implementación y uso de Redis, Elasticsearch y Docker, experiencia con API REST, autenticación con JWT y OAuth, gestión y despliegue de servidores con Docker. Desarrollo de Aplicaciones Móviles Multiplataforma: experiencia con Flutter, React Native o Kotlin. Bases de Datos: Manejo de bases de datos SQL y NoSQL, experiencia con PostgreSQL y MongoDB. Infraestructura y Cloud: implement..."
3,Desarrollador software,Lima,Lima,16/05/2025,Contrato a plazo indeterminado,Tiempo completo,Híbrido presencial teletrabajo,"$6,900.00",PEN,Mensual,"C#,Vb.net",No disponible,"Sql server,Oracle,Mysql,Postgresql",Visual studio. android studio,Intermedio,Universitario,3,Administración de sistemas,26,35,Desarrollador/a de software,Celsat s.a.c.,No disponible,https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-software-con-experiencia-en-lima-7114A31415B1C82661373E686DCF3405#lc=ListOffers-Score4-3,"Somos una empresa de tecnología con más de 17 años en el mercado, especializada en el desarrollo de soluciones de software. Buscamos talento apasionado y comprometido para sumarse a nuestro equipo. Requisitos Bachiller en Ingeniería de Sistemas o Software Experiencia mínima de 3 años en desarrollo de soluciones web Manejo avanzado de SQL Server (Indispensable) Experiencia en desarrollo e implementación de sistemas Conocimientos en bases de datos: Oracle, MySQL, PostgreSQL Experiencia en desarrollo con .NET y .NET Core (C# o VB.NET) Experiencia en microservicios y desarrollo con metodologías ágiles Dominio de Visual Studio y el ecosistema .NET Capacidad de investigación y aprendizaje continuo Habilidades de comunicación, trabajo en equipo y compromiso Deseable (No indispensable) Conocimientos en Android Studio Lo que ofrecemos"
4,Desarrollador software presencial tiempo completo,Lima,Lima,20/04/2025,Contrato a plazo indeterminado,Por horas,Presencial,"$2,900.00",PEN,Mensual,"Python,Java",No disponible,No disponible,No disponible,No disponible,Técnico,1,No disponible,18,30,Desarrollador/a de software,Camsan fabricaciones e.i.r.l.,No disponible,https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-software-presencial-tiempo-completo-lima-en-lima-839DF02DC9677C9E61373E686DCF3405#lc=ListOffers-Score4-4,"Nos encontramos en la búsqueda del mejor talento para el puesto de DESARROLLADOR DE SOFTWARE que tenga disponibilidad para trabajar en el cercado de Lima y cumpla con el siguiente perfil: -Egresados de carreras de informática, e afines. -Dinámico -Puntual -Creativo -Dominio de lenguaje de programación Python y Java FUNCIONES -Desarrollo de software -Desarrollo de página web -Mantenimiento y Actualización de software y pagina web -Colaboración en equipo OFRECEMOS: -Capacitaciones constantes -Línea de carrera -Convenios de prácticas pre profesionales"
5,Líder técnico,Tacna,Tacna,21/02/2025,Contrato por inicio o incremento de actividad,Tiempo completo,Presencial,"$3,400.00",PEN,Mensual,Java,No disponible,No disponible,Node-red,No disponible,Universitario,3,No disponible,No disponible,No disponible,Desarrollador/a de software,Importante empresa del sector,No disponible,https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-lider-tecnico-proyectos-de-desarrollo-software-en-tacna-1E60778C0567A0FB61373E686DCF3405#lc=ListOffers-Score3-5,"Importante empresa está en búsqueda de sumar a un gran talento con el cargo de: Líder Técnico (Sede Tacna) Misión: Velar por el desarrollo de productos de software bajo estándares internacionales y prácticas internas, cumpliendo cronogramas, alcances y presupuestos, participando en la ideación y factibilidad técnica de requerimientos, proponiendo soluciones innovadoras, promoviendo un ambiente de alto desempeño y realizando seguimiento al equipo para identificar mejoras, reportando a la jefatura y dirección. Requisitos: Egresado universitario de las carreras de Ing. De sistemas, Desarrollo de software o afines. Mínimo 3 años de experiencia liderando equipos de desarrollo de software con el cargo de Líder técnico, Desarrollador fullstack, Analista programador Sr, entre otros. Experiencia de gestión con Metodologías y prácticas ágiles (deseable) Dominio de Arquitectura de construcción de software (en capas, orientado a microservicios,mvc.) Dominio de Lenguajes de programación: java, ..."
6,Desarrollador senior,Surquillo,Lima,28/03/2025,Contrato de temporada,Tiempo completo,Híbrido presencial teletrabajo,"$8,700.00",PEN,Mensual,"Php,C#,Javascript",No disponible,No disponible,No disponible,No disponible,Técnico,4,No disponible,25,50,Desarrollador/a de software,Soluciones digitales group,"Somos una empresa de tecnología especializada en el desarrollo y mantenimiento evolutivo-correctivo de software multiplataforma y multilenguaje. Nuestra pasión es impulsar la transformación empresarial a través de soluciones de software personalizadas, innovadoras y de alta calidad. En Soluciones Digitales Group, creemos en marcar la diferencia con cada solución de software que creamos, adaptándola a las necesidades específicas de nuestros clientes y enfocándonos en optimizar sus proc...",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-senior-en-surquillo-845EE7AF401A916661373E686DCF3405#lc=ListOffers-Score3-6,"Desarrollador Senior Nos encontramos en búsqueda de un Desarrollador Senior para unirse a nuestro equipo de Proyectos en Soluciones Digitales Group, empresa líder en tecnología y desarrollo de software. Si eres un apasionado de la programación y deseas potenciar tus conocimientos y crecer en un entorno profesional, ¡esta es tu oportunidad! Perfil Licenciatura en informática, ingeniería de software o campos relacionados. Experiencia demostrada en desarrollo de software con PHP, .NET y Node-RED. Más de 4 años de experiencia. Funciones Desarrollo de Software: Diseñar, codificar y mantener aplicaciones utilizando PHP, .NET y Node-RED. Integración de Sistemas: Conectar y optimizar sistemas y servicios utilizando estas tecnologías. Resolución de Problemas: Identificar y solucionar errores y problemas técnicos en el código y las aplicaciones. Documentación: Crear y actualizar documentación técnica y manuales de usuario. Colaboración: Trabajar con equipos multidisciplinarios para asegura..."
7,Desarrollador fullstack senior azure,Miraflores,Lima,29/04/2025,Contrato por inicio o incremento de actividad,Tiempo completo,Híbrido presencial teletrabajo,"$8,100.00",PEN,Mensual,"Java,C#,Python",No disponible,Sql server,No disponible,No disponible,Universitario,2,No disponible,19,30,Desarrollador/a de software,Lucky sac,"Somos el grupo empresarial líder en servicios integrales de promoción, soporte en la gestión del punto de venta e información de marketing en el Perú. Somos Socios fundadores de la Asociación de Buenos Empleadores. Con más de 20 años de servicio, tenemos presencia constante en todos los canales comerciales del país y nuestras operaciones se extienden a países como Ecuador y Colombia.",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-fullstack-senior-azure-en-miraflores-27887AB5027110E261373E686DCF3405#lc=ListOffers-Score3-7,"¡Únete a una de las mejores empresas para trabajar en Perú! LUCKY.- Somos el grupo empresarial líder en servicios integrales de promoción, soporte en la gestión del punto de venta e información activa de marketing en el Perú. Nos encontramos en la búsqueda de personas talentosas como tú que puedan integrarse a nuestra gran familia en la posición de: Desarrollador Fullstack Senior Azure ¿Qué funciones realizarás? Análisis y diseño de sistemas Programación orientada a objetos y compilación, con las técnicas y herramientas mas avanzadas disponibles. Integración de Frontend con el Backend. Revisión y prueba de aplicaciones. Corrección de errores. Documentación de sistemas y procesos desarrollados. Soporte a usuarios. ¿Qué buscamos? Experiencia mínima 3 Años como Desarrollador Fullstack o Desarrollador de Sistemas Web o Analista Programador Experiencia no menor a 2 Años como Azure Developer, Implementador Azure, Cloud Engineer Base de datos SQL Server nivel intermedio (Transac-sql, gener..."
8,Practicas programador web y mobile react node y flutter,Miraflores,Lima,05/04/2025,Contrato ocasional,Por horas,Teletrabajo,"$3,100.00",PEN,Mensual,"Javascript,Dart","React,Node,Flutter.","Mysql,Postgresql,Oracle",No disponible,No disponible,Universitario,1,No disponible,20,50,Desarrollador/a de software,Pmconsultingsap,"PMConsultoringSap Enterprise Solutions, es una empresa con experiencia en gestión y desarrollo de soluciones de negocios en tecnologías de la información. Nuestro staff está conformado por profesionales con experiencia en el Desarrollo e Integración de Sistemas, Optimización de Procesos de Negocio, Gestión de Proyectos y Consultoría e Implementación de Servicios de Informaticos. Empresa del sector Informática / Software, localizada en Lima.",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-practicas-programador-web-y-mobile-react-node-y-flutter-remoto-ad-honorem-en-miraflores-94C5B22C3DB58E5861373E686DCF3405#lc=ListOffers-Score3-8,"Empresa Agiletech Perú, E-Commerce del rubro de servicios de tecnología, hardware y software necesita personal para afianzar posición en la región Lima. Si buscas adquirir nuevos conocimientos y ganar experiencia en el área de Desarrollo de Software ¡VEN Y TRABAJA CON NOSOTROS! Si eres proactivo, dinámico, creativo y apasionado por tecnologías disruptivas NO TE PIERDAS ESTA OPORTUNIDAD!!!! Solicitamos: PRACTICANTES DESARROLLADORES REACT, NODE y/o FLUTTER. Requisitos: • Experiencia de al menos 6 meses en el desarrollo de aplicaciones Web con React JS. • Experiencia de al menos 6 meses en el desarrollo de aplicaciones móviles con Flutter, IOS o Hibridas. • Experiencia en el desarrollo de aplicaciones con NodeJS. • Experiencia con bases de datos MySQL, Postgres u Oracle. • Conocimientos en el desarrollo y consumo de API RestFul. • Modalidad: AD HONOREM (Sin remuneraciòn), pasado los 6 primeros meses de enrolamiento ingresara a formar parte de la empresa (de acuerdo a su evaluación)..."
9,Desarrollador fullstack,Lima,Lima,10/03/2025,Contrato por necesidades del mercado,Tiempo completo,Presencial,"$6,200.00",PEN,Mensual,"Javascript,Python",No disponible,"Postgresql,Mysql",No disponible,No disponible,Universitario,2,No disponible,19,50,Desarrollador/a de software,Importante empresa del sector,No disponible,https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-fullstack-presencial-cercado-de-lima-en-lima-0239988F6B45005761373E686DCF3405#lc=ListOffers-Score3-9,"Nos encontramos en búsqueda de (1) DESARROLLADOR FULLSTACK. FUNCIONES: Realizar el análisis de los requerimientos en función a lo exigido por el negocio o por las diferentes áreas. Desarrollar aplicaciones y/o funcionalidades tanto en el Frontend como en el Backend. Diseñar y construir base de datos, asegurando su eficiencia, integridad y seguridad en PostgreSQL y MySQL (base de datos). Identificar y resolver bugs que se presentan en las aplicaciones software de la empresa. Optimizar el rendimiento de las aplicaciones. Realizar pruebas unitarias y pruebas de integración para garantizar la calidad del código utilizando Inteligencia Artificial o plugin. Validar el funcionamiento óptimo del software implementado. Realizar mantenimiento a las aplicaciones existentes para garantizar su disponibilidad y seguridad. Otras funciones asignadas por el jefe directo. REQUISITOS: Egresado o Bachiller en Ingeniería de Software, Ingeniería Informática, Ingeniería de Sistemas o carreras afines. Ex..."
10,Desarrollador de soluciones ti,Santiago de surco,Lima,01/05/2025,Contrato por inicio o incremento de actividad,Tiempo completo,Presencial,"$8,800.00",PEN,Mensual,"C#,Javascript",No disponible,Sql server,Excel,Intermedio,Universitario,1,No disponible,19,50,Desarrollador/a de software,Office paper,"Somos la marca peruana líder en papeles foto y etiquetas para impresión, con presencia a nivel nacional en todas las cadenas retail como Tottus, Hiraoka, Coolbox, Wong y Tai Loy entre otros. Desarrollamos activamente el mercado de la impresión inkjet en el Perú, participando en acciones promocionales con las principales marcas de impresoras como Epson, HP y Brother. Nos inspiran las emociones positivas y las impulsamos en nuestro equipo y clientes.",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-de-soluciones-ti-en-santiago-de-surco-41A588BFE6D5641761373E686DCF3405#lc=ListOffers-Score3-11,"En Office Paper, estamos buscando personas apasionadas y dinámicas para formar parte de nuestro equipo en el puesto de: Desarrollador de Soluciones TI ¿Qué te acerca a nuestra vacante?: * Universitario / técnico concluido en Ingeniería en Sistemas, Informática o carreras afines * Experiencia mínima de 01 año (no excluyente) * Conocimientos básico de bases de datos (SQL Server) * Conocimientos básicos en lenguajes de programación * Conocimiento de Excel Intermedio/Avanzado. * Experiencia en manejo de ERP (preferentemente de Dynamics Business). *Capacidad de resolución de problemas, pensamiento creativo, comunicación eficaz, adaptación y flexibilidad * Disponibilidad para trabajo 100% presencial en oficina en Surco (indispensable). ¿Cuáles serían los objetivos principales de tu rol?: *Desarrollo software: Crear y personalizar funcionalidades en Microsoft Dynamics 365 Business Central * Colaboración en equipo: Cooperar con el equipo de implementación y soporte para asegurar que el ..."
11,Analista/programador,Callao,Callao,27/03/2025,Contrato por necesidades del mercado,Tiempo completo,Presencial,"$6,600.00",PEN,Anual,"C,Vb.net",No disponible,No disponible,Devexpress,Intermedio,Universitario,1,No disponible,19,50,Desarrollador/a de software,Monark peru s.a,"MONARK, una marca símbolo en el mercado peruano, toda una institución en lo que a bicicletas se refiere; apareció en el año 1952 en el Perú, importada desde Suecia. Monark Peru S.A es una empresa privada cuya actividad principal es la fabricación, ensamblaje, venta de bicicletas y artículos afines. A inicios del año 2014 se inauguro nuestra tienda ubicada en calle Libertadores 155, San Isidro.",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-analistaprogramador-presencial-en-callao-782A06E6410592CA61373E686DCF3405#lc=ListOffers-Score3-12,"Nos encontramos en la búsqueda de un Analista/Programador para el rubro comercial de Bicicletas, Equipos de Gimnasio y Accesorios. Educación Universitaria o Técnica concluida en Ingeniería de Sistemas o Similares. Mas de 4 años de experiencia como desarrollador. Experiencia deseable en empresas del sector retail, conocimiento en facturación electrónica, guiá remisión electrónica Conocimiento en Procesos de Almacén, contabilidad, facturación, finanzas, ventas, comercial, cobranza, importaciones. Experiencia en proyectos de desarrollo usando metodologías Agiles (SCRUM) y de gestión de proyectos. Experiencia en desarrollo de ERPs Conocimiento en herramienta de desarrollo: .Net (C - VB), .Net Core, Web Services, Apis, desarrollo móvil, DEVEXPRESS. Conocimiento BD Oracle, creación de Procedimiento almacenados. Conocimiento básico en la herramienta Genexus (no indispensable) ¿Cuál es el reto profesional? Análisis de requerimientos para la resolución de problemas. Aplicar principios SOLID ..."
12,Desarrollador genexus,Lima,Lima,15/04/2025,Contrato de temporada,Tiempo completo,Presencial,"$3,200.00",PEN,Mensual,Java,No disponible,Mysql,Genexus,No disponible,Universitario,1,No disponible,19,50,Desarrollador/a de software,Software enterprise services sac,"Somos Software Enterprise Services, empresa líder en tecnologías de la información en la prestación de servicios de outsourcing y desarrollo de software, con más de 11 años en el mercado peruano contando con prestigiosos clientes nacionales y extranjeros viabilizando sus procesos de transformación y modernización.",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-genexus-remoto-en-lima-D471848883004E1461373E686DCF3405#lc=ListOffers-Score3-13,"SOFTWARE ENTERPRISE SERVICES Somos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente posición: DESARROLLADOR GENEXUS Requisitos: Universitario Egresado, Titulado, Bachiller o Técnico Egresado, Titulado Carreras de Ingeniería de Sistemas, de Software, Informática, Computación o afines Experiencia de 3 a 5 años mínimo de experiencia Genexus , bantotal , JAVA y microservicios. Herramientas no técnicas: - Trabajo en equipo - Comunicación Eficaz Beneficios: - Hibrido / remoto - Planilla - EPS (opcional) - Oportunidad de línea de carrera"
13,Desarrollador aws,Lima,Lima,10/01/2025,Contrato a plazo indeterminado,Tiempo completo,Remoto,"$3,200.00",PEN,Mensual,"Java,Python",No disponible,Dynamodb,No disponible,Intermedio,Técnico,1,No disponible,19,50,Desarrollador/a de software,Software enterprise services sac,"Somos Software Enterprise Services, empresa líder en tecnologías de la información en la prestación de servicios de outsourcing y desarrollo de software, con más de 11 años en el mercado peruano contando con prestigiosos clientes nacionales y extranjeros viabilizando sus procesos de transformación y modernización.",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-aws-en-lima-FC978B161275778161373E686DCF3405#lc=ListOffers-Score3-14,Ingles Intermedio
14,Desarrollador web junior,Jacobo hunter,Arequipa,24/05/2025,"Contrato por inicio o incremento de actividad,",Tiempo completo,Presencial,"$8,500.00",PEN,Anual,C#,No disponible,"Sql server,Mysql",Git,No disponible,Técnico,3,No disponible,19,50,Desarrollador/a de software,Arequipa expreso marvisur e.i.r.l.,"Arequipa Expreso Marvisur es la empresa líder en el sector de transporte de carga y mercadería, cuenta con mas de 100 Sucursales a Nivel Nacional y mas de 30 años en el mercado brindando un servicio de calidad y seguridad a las personas y compañías mas importantes del país.",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-web-junior-en-jacobo-hunter-9E2C8B926948F94761373E686DCF3405#lc=ListOffers-Score3-15,"Empresa líder del rubro de transporte de carga está en la búsqueda del mejor personal calificado que desee pertenecer a una empresa reconocida a nivel nacional, con oportunidades de crecimiento y desarrollo profesional para cubrir el puesto de DESARROLLADOR WEB REQUISITOS: Egresado o bachiller en las carreras de Ing. Informática, Ing. de Sistemas , software o afines. Conocimiento de bases de datos (SQL SERVER, MYSQL). Conocimiento en desarrollo de servicios RESTFul Manejo de control de versiones GIT Angular Práctica en proyectos web, C ,NET (Deseable). BENEFICIOS: Ingreso a planilla con beneficios de ley. Remuneración acorde al mercado. Pertenecer a una empresa con reconocimiento a nivel nacional Arequipa Expreso Marvisur E.I.R.L. mantiene una política de contratación inclusiva, por lo que de acuerdo con la Ley N.º 29973, Ley General de la Persona con Discapacidad la convocatoria es abierta."
15,Desarrollador de aplicaciones android freelance / arequipa,Cayma,Arequipa,17/04/2025,Contrato por inicio o incremento de actividad,Tiempo completo,Híbrido presencial teletrabajo,"$6,400.00",PEN,Mensual,"Java,Javascript,Php,Python",Flutter,"Sql server,Mysql,Postgresql",Apache,No disponible,Técnico,5,No disponible,19,45,Desarrollador/a de software,Estilos s.r.l.,"Estilos es una empresa peruana conformada por la cadena de tiendas por departamento que lleva su mismo nombre dedicada a la venta retail de textiles, calzado, menaje, decoración, juguetes, electrodomésticos y tecnología, ofreciendo así, al público en general, productos novedosos con el mejor sistema de financiamiento a través de la Tarjeta Estilos. Estilos te invita a participar de sus procesos de selección y así ser parte de esta gran familia.",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-de-aplicaciones-android-freelance-arequipa-en-cayma-937B0B1A957039E761373E686DCF3405#lc=ListOffers-Score3-16,"ESTILOS, empresa peruana líder en el rubro Retail, requiere incorporar a su equipo el mejor talento para cubrir la posición de DESARROLLADOR DE APLICACIONES ANDROID FREELANCE para su sede en AREQUIPA. REQUISITOS Profesional en Ing. de Sistemas o informática y carreras afines. Experiencia laboral mínima de 02 años en desarrollo de aplicaciones y sistemas. Conocimientos y/o experiencia de desarrollo Framework, Android con conocimiento avanzado de MVC, conocimiento avanzado en Android Java, js, jquery y SQL server y Transacc SQL Conocimiento comprobado sobre herramienta y tecnologías de desarrollo SQL Server, MySQL, PHP, JavaScript y servidor web Apache Manejo de Phyton, PostgreSQL y MySQL FUNCIONES PRINCIPALES Responsable de dirigir el análisis, gestión y ejecución de proyectos de software además de la arquitectura e integración y el mantenimiento de punto de venta. Formular y proponer procesos, estándares y controles aplicables en el desarrollo y mantenimiento de sistemas de punto de..."
16,Desarrollador backend .net,San borja,Lima,22/03/2025,Contrato por inicio o incremento de actividad,Tiempo completo,Híbrido presencial teletrabajo,"$7,700.00",PEN,Mensual,C#,No disponible,Sql server,No disponible,No disponible,Universitario,3,No disponible,19,43,Desarrollador/a de software,Valtx,"Somos un equipo de profesionales que gestiona el mejor funcionamiento de los inmuebles a nivel nacional con servicios integrados, soportados en personas, procesos y tecnología que aseguran la continuidad y las mejores prácticas para sus instalaciones. Formados con una cultura de servicio orientada a mejorar la experiencia de nuestros clientes. Ponemos a disposición nuestro software de gestión propio y flexible para la ejecución de los servicios, administrando y controlando en línea sus proc...",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-backend-net-en-san-borja-D04CE0DC25D800AB61373E686DCF3405#lc=ListOffers-Score3-17,"En Valtx, empresa con 23 años de experiencia en el mercado peruano, cuyo objetivo principal es convertirse en un socio estratégico, mediante soluciones tecnológicas en los diversos aspectos de los procesos de negocios; el desarrollo, implementación y mantenimiento de aplicaciones e infraestructura tecnológica para el negocio; y consultoría en diversos procesos de transformación, nos encontramos en la búsqueda de un DESARROLLADOR BACKEND .NET. ¿Qué requisitos necesito? - Titulado o Bachiller en ingeniería de sistemas o carreras afines. - + (3) años de experiencia como desarrollador BACK END o FULL STACK deseable en banca, microfinanzas o similares. - Al menos dos (2) años de experiencia como desarrollador de servicios en API REST con NET y Microservicios. - Experiencia en desarrollo sobre Lenguaje C , Net Core 6 u 8 y .Net con SQL server y arquitectura hexagonal. - Experiencia en el uso de patrones de diseño. - Experiencia resolviendo o analizando problemas de seguridad. - Deseable c..."
17,Líder técnico net core java + spring boot nodejs,San borja,Lima,09/05/2025,Contrato por obra determinada o servicio específico,Tiempo completo,Híbrido presencial teletrabajo,"$5,400.00",PEN,Anual,No disponible,No disponible,"Sql server,Mysql",No disponible,No disponible,Universitario,2,No disponible,19,43,Desarrollador/a de software,Valtx,"Somos un equipo de profesionales que gestiona el mejor funcionamiento de los inmuebles a nivel nacional con servicios integrados, soportados en personas, procesos y tecnología que aseguran la continuidad y las mejores prácticas para sus instalaciones. Formados con una cultura de servicio orientada a mejorar la experiencia de nuestros clientes. Ponemos a disposición nuestro software de gestión propio y flexible para la ejecución de los servicios, administrando y controlando en línea sus proc...",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-lider-tecnico-net-core-java-spring-boot-nodejs-en-san-borja-3AFACFE63582EDF661373E686DCF3405#lc=ListOffers-Score3-18,"En Valtx, empresa con 24 años de experiencia en el mercado peruano, cuyo objetivo principal es convertirse en un socio estratégico, mediante soluciones tecnológicas en los diversos aspectos de los procesos de negocios; el desarrollo, implementación y mantenimiento de aplicaciones e infraestructura tecnológica para el negocio; y consultoría en diversos procesos de transformación, nos encontramos en la búsqueda de un LIDER TECNICO. ¿Cuáles son las principales funciones? - Liderar técnica y metodológicamente a equipos de desarrollo. - Definir la arquitectura de soluciones de software y de infraestructura. - Realizar el seguimiento y monitoreo de los proyectos asignados. - Coordinar y preparar informes de estatus de proyecto para gerencia. - Elaborar propuestas técnicas para nuevos desarrollos y mejoras. - Documentar la arquitectura, desarrollo y entrega de los proyectos. - Brindar soporte técnico y resolver bloqueos al equipo de desarrollo. - Definir estrategias de trabajo eficientes y..."
18,Desarrollador,Arequipa,Arequipa,16/04/2025,Contrato por inicio o incremento de actividad,Tiempo completo,Presencial,"$6,600.00",PEN,Mensual,Java,"Spring,Spring boot,Hibernate","Mysql,Postgresql",No disponible,Avanzado,Universitario,1,No disponible,19,30,Desarrollador/a de software,Bitcoin.com,"Somos una empresa tecnológica financiera con operaciones en Perú y Brasil, desarrollamos modelos de negocio beasados en criptomonedas, especialmente en Bitcoin. Buscamos acelerar la adopción de Bitcoin como dinero de uso corriente, por medio de nuestras soluciones financieras enfocadas en la simplicidad y la esperiencia de usuario.",https://pe.computrabajo.com//ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-middle-o-senior-en-arequipa-4D389598E683F1FE61373E686DCF3405#lc=ListOffers-Score3-19,"Somos una Fintech líder a nivel nacional en el desarrollo de software y su aplicación en la industria financiera. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente plaza: - DESARROLLADOR (MIDDLE Y SENIOR). REQUISITOS: - Bachiller o titulado en las carreras profesionales de Ing. de Software, Ing. de Sistemas y/o afines. - Experiencia mínima en puestos similares de 3 años para la plaza middle y de 5 años para la plaza senior. - Nivel de Inglés intermedio o avanzado. - Experiencia en Arquitectura de Software, Lenguajes de Codificación y Java. - Experiencia en implementación y desarrollo de software usando los siguientes framework: SPRING, SPRING BOOT, HIBERNATE, JPA, ORM (deberá de implementar especificaciones y sus respectivas implementaciones por medio de UML). - Conocimiento sólido de UML para la implementación de software por medio del uso de patrones. - Disponibilidad inmediata. -Trabajo presencial. FUNCIONES: - Implementación y desarrollo en la administr..."
